[2024/03/28 21:35:20.089][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4440 productIDAsString = 1158 
[2024/03/28 21:35:20.090][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 395 productIDAsString = 018B 
[2024/03/28 21:35:20.091][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4497 productIDAsString = 1191 
[2024/03/28 21:35:20.092][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4497 productIDAsString = 1191 
[2024/03/28 21:35:20.093][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4379 productIDAsString = 111B 
[2024/03/28 21:35:20.094][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4461 productIDAsString = 116D 
[2024/03/28 21:35:20.095][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4461 productIDAsString = 116D 
[2024/03/28 21:35:20.096][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4429 productIDAsString = 114D 
[2024/03/28 21:35:20.097][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4429 productIDAsString = 114D 
[2024/03/28 21:35:20.098][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4403 productIDAsString = 1133 
[2024/03/28 21:35:20.099][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4488 productIDAsString = 1188 
[2024/03/28 21:35:20.100][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4540 productIDAsString = 11BC 
[2024/03/28 21:35:20.101][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2237 productIDAsString = 08BD 
[2024/03/28 21:35:20.102][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2237 productIDAsString = 08BD 
[2024/03/28 21:35:20.103][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 312 productIDAsString = 0138 
[2024/03/28 21:35:20.104][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 312 productIDAsString = 0138 
[2024/03/28 21:35:20.105][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 385 productIDAsString = 0181 
